,,,,,,,,,,,,,
Cantidad,Producto,,Costo,Fecha,Provedor,Direccion ,,,,,,,
,Patron pantys,,$69.831,19/02/2024,The lingerie Formula,https://thelingerieformula.com/,,,Telas algodon jersey retazos negro,400,1,$4.500,"$11,25"
,Brazo estampar,,$341.100,20/05/2024,mercado libre,,,,mallatex negro,50,150,$4.000,"$0,53"
,Lamparas,,$91.418,25/06/2024,mercado libre,,,,Tira de poliester para las totebag,100,1,$2.300,"$23,00"
,tijeras + corta hilo + deshenebradores,,$41.000,25/06/2024,amazon,,,,deslizadores cremallera num 3,1,1,$209,"$209,00"
,Elasticos cosrseteria etc,,$76.000,29/06/2024,kilotelas,Cr 6 # 16 - 15,,,Sublimacion para las totebag,100,140,$20.000,"$1,43"
,extensiones + papelera + regleta,,$123.000,29/06/2024,,,,,Gabardina Ultra Poliester,100,150,$18.653,"$1,24"
,telas + sesgos + tira +gafetes,,$39.000,23/07/2024,,kilotelas,,,Cremallera num 3,1.000,1,$11.000,"$11,00"
,accesorio collarin 2 cm,,$90.000,23/07/2024,,,,,Cadena plateada gruesa totebag,100,1,$4.000,"$40,00"
,maniqui ,,$40.000,23/07/2024,,,,,Cadena gris delgada totebag,100,1,$2.000,"$20,00"
,Franela lycra 1 mt (blanco y negro),1,$30.000,07/09/2024,,kilotelas,,,Super Brioni ,100,150,$4.200,"$0,28"
,Hilaza negra ,1,$9.300,07/09/2024,,kilotelas,,,Rosa tejida gris,1,1,$3.500,"$3.500,00"
,Tapavarilla negro 10 mts,10,$9.000,07/09/2024,,kilotelas,,,Lino vertigo,90,150,$15.300,"$1,13"
,Sesgo Elastico 2 10 mts,10,$6.300,07/09/2024,,kilotelas,,,Entretela elastica negra ,300,150,$16.500,"$0,37"
,Elastico contorno negro 2cm 10 mts,10,$18.000,07/09/2024,,kilotelas,,,Cinta Satin negra 1 1/2,5.000,2,$10.500,"$1,40"
,Encaje Elastico 19 cm negro 10 mts,10,$27.000,07/09/2024,,kilotelas,,,Terminales de cordon,12,1,$2.500,"$208,33"
,Encaje Elastico 19 cm blanco 10 mts,10,$27.000,07/09/2024,,kilotelas,,,Barilla poliester corset negro 8mm,450,1,$33.476,"$74,39"
,Encaje elastico negro 23 cm 10 mts,10,$36.000,07/09/2024,,kilotelas,,,Boton Aro para las faldas,144,1,$31.966,"$221,99"
,Encaje elastico 6 cm negro ,5,$12.200,07/09/2024,,Corseteria,,,Powernet negro delgado (corsets),150,400,$72.000,"$1,20"
,Encaje elastico 6 cm blanco ,5,$12.200,07/09/2024,,Corseteria,,,Encaje de ramitas,1.000,15,$3.500,"$0,23"
,Herrajes / gafetes / copas prehormadas,,$83.000,06/09/2024,,Gerrajes,,,Tela a cuadros ,100,150,$11.900,"$0,79"
,Encaje 6 cm calidad negro 8 mts,,$22.400,16/09/2024,,Santa Rosa,,,Entretela rigida blanca ,100,150,$19.000,"$1,27"
,Encaje 6 cm calidad blanco 8 mts,,$22.400,16/09/2024,,Santa Rosa,,,Sesgo satin brillante,1.200,1,$19.620,"$13,63"
,Tira de Brasier negro 10 mts,,$6.000,13/09/2024,,kilotelas,,,ojales metalicos 3/8 (grandes),200,1,$40.000,"$200,00"
,Tira de Brasier blanco 10 mts,,$6.000,13/09/2024,,kilotelas,,,,,,,#DIV/0!
,Framilon elastico plano 20 mts,,$9.000,13/09/2024,,kilotelas,,,,,,,#DIV/0!
,Elastico Panty blanco 10 mts,,$5.400,13/09/2024,,kilotelas,,,,,,,#DIV/0!
,"Sesgo Elastico blanco 1,5  10 mts",,$5.000,13/09/2024,,kilotelas,,,,,,,#DIV/0!
,Hilaza venus 150 gms blanco,,$3.500,13/09/2024,,Hilos y suministros,,,,,,,#DIV/0!
,Hilaza venus 150 gms negro,,$4.000,13/09/2024,,Hilos y suministros,,,,,,,#DIV/0!
,Hilaza venus 150 gms negro,,$4.000,13/09/2024,,Hilos y suministros,,,,,,,#DIV/0!
,Telas algodon jersey retazos negro,,$4.500,13/09/2024,,Facol,,,,,,,#DIV/0!
,Telas algodon jersey retazos blanco,,$6.500,13/09/2024,,Facol,,,,,,,
100,marquillas en satin,,$66.000,03/10/2024,,GAMMA impresos y marquillas,,,,,,,
39mt,Ref 100 24 cm tul bordado negro,,$410.000,25/10/2025,Atenea bordados y encajes,https://www.instagram.com/ateneabordadosyencajes?igsh=MXd0cTZ0emIxcDZ6Nw==,,,,,,,
 21mt,Ref 159 24 cm tul bordado rojo pastel,,$205.000,25/10/2025,Atenea bordados y encajes,https://www.instagram.com/ateneabordadosyencajes?igsh=MXd0cTZ0emIxcDZ6Nw==,,,,,,,
,envio telas atenea,,$18.000,25/10/2025,Atenea bordados y encajes,,,,,,,,
20,Cajas negras de 30 x 20 x7,,$182.700,26/10/2025,,amazon,,,,,,,
20,Cajas negras de 30 x 20 x7,,$182.700,26/10/2025,,amazon,,,,,,,
15 mts,Sublimacion de la tela maya,,$324.000,26/10/2025,,,,,,,,,
6mts,velo estrella (papel empaque),,$19.000,27/10/2025,Boutique de los empaques,,,,,,,,
50,Bolsa de seguridad negra 25 x 35,,$22.500,27/10/2025,Boutique de los empaques,,,,,,,,
50,Bolsa de seguridad rosa 25 x 35,,$25.000,27/10/2025,Boutique de los empaques,,,,,,,,
1 mt,Satin elastico negro ,,$7.900,28/10/2025,,,,,,,,,
1 mt,Satin elastico rosa,,$8.000,28/10/2025,textiles f y m,,,,,,,,
,Alfileres ,,$5.000,28/10/2025,brother,,,,,,,,
10,Aguja fileteadora # 12,,$10.900,28/10/2025,brother,,,,,,,,
1,Sprey pegante tela,,$21.000,28/10/2025,brother,,,,,,,,
10 mts,Sesgo elastico negro 2cm brillante,,$9.900,28/10/2025,kilotelas,,,,,,,,
10 mts,Sesgo rigido para ojales corset,,$9.000,28/10/2025,kilotelas,,,,,,,,
100,Argolla numero 8 mm,,$8.700,28/10/2025,,,,,,,,,
Cantidad,Producto,,Costo,Fecha,Provedor,Direccion ,,,,,,,
10 metros,Tira de poliester para las totebag,,$23.000,27/03/2026,Herrajes ,,,,,,,,
12,deslizadores cremallera num 3,,$2.500,27/03/2026,Herrajes ,,,,,,,,
12,Terminales de cordon,,$2.500,27/03/2026,Herrajes ,,,,,,,,
90 cms,Lino vertigo,,$15.300,27/03/2026,,,,,,,,,
2 mt,Sublimacion para las totebag,,$40.000,27/03/2026,,,,,,,,,
"2,90 mts",Super Brioni ,,$14.310,27/03/2026,ICOLTEX,,,,,,,,
1 mts,Cadena plateada gruesa totebag,,$4.000,27/03/2026,Herrajes ,,,,,,,,
1 mts,Cadena gris delgada totebag,,$2.000,27/03/2026,Herrajes ,,,,,,,,
8 mts,Gabardina Ultra Poliester,,$149.224,03/03/2026,CasaTextil,,,,,,,,
10 mts,Cremallera num 3,,$11.000,03/03/2026,mercado libre,,,,,,,,
3 mts,Entretela elastica negra ,,$16.500,27/03/2026,almacen de la 6ta,,,,,,,,
6,Rosas tejidas para totebag,,$21.000,28/03/2026,Gabriela ,,,,,,,,
1,Stand en feria gotica 2 dias,,$60.000,28/03/2026,Gato bandido,,,,,,,,
50 mts,Cinta Satin negra 1 1/2,,$10.500,28/03/2026,,,,,,,,,
45 mts,Barilla poliester corset negro 8mm,,$33.476,28/03/2026,,,,,,,,,
1,Stand en feria NANA 1 dia,,$60.000,25/07/2026,Gato bandido,,,,,,,,
4 mts,Powernet negro delgado,,$72.000,18/07/2026,Tienda pequeña misma cuadra herrajes,,,,,,,,
,Cremalleras falda invisibles 20 cms,,,18/07/2026,,,,,,,,,
144,Boton Aro para las faldas,,$31.966,18/07/2026,las 3BBB,,,,,,,,
10 mts,Encaje de ramitas,,$35.000,18/07/2026,La corseteria,,,,,,,,
1 mts,Tejido plano sim popelina (a cuadros bn),,$11.900,18/07/2026,facol,,,,,,,,
1 mts,Tela noche de viena negra,,$16.000,18/07/2026,la sesta,,,,,,,,
1 mts,Entretela rigida blanca ,,$19.000,18/07/2026,cartago,,,,,,,,
200,ojales metalicos 3/8 (grandes),,$40.000,18/07/2026,gerrajes,,,,,,,,
12,terminal metalico para cintas,,$2.400,18/07/2026,gerrajes,,,,,,,,
12 mts,Sesgo satin brillante,,$19.620,19/07/2026,temu,,,,,,,,
,Fotografia y Video para redes sociales,,$700.000,20/07/2026,Daniel,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,total,,$13.548.941,,,,,,,,,,
