id,insumo_id,fecha_compra,cantidad_comprada,precio_unitario_compra,proveedor_id,factura,costo_unitario_aplicado
79,3,2026-08-22 01:32:36.116446+00:00,5.0000,200.0000,,,
80,3,2026-08-22 01:40:28.544500+00:00,100.0000,200.0000,,,
